"ano","sq_candidato","nome_candidato","sigla_uf","sigla_partido","qtd_doacoes","qtd_doadores","total_receita","media_receita","recursos de outros candidatos/comitês","recursos de pessoas físicas","recursos de pessoas jurídicas","recursos próprios","qtd_despesas","qtd_fornecedores","total_despesa","media_despesa","descricao_cargo","sexo","grau_instrucao","estado_civil","descricao_ocupacao","votos"
2014,10000000171,"SEBASTIÃO SIBÁ MACHADO OLIVEIRA","AC","PT",46,44,369354.03,8394.40977272727,21554.04,139799.98,58000,35000,282,213,344777.48,1618.67361502347,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",18395
2014,10000000172,"MOISES DINIZ LIMA","AC","PC do B",10,10,117551.17,11755.117,25000,4450,1.17,88100,49,48,117427.87,2446.41395833333,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO",13738
2014,10000000173,"ALAN RICK MIRANDA","AC","PRB",64,58,385710.67,6650.18396551724,468199.17,800,2000,NA,84,77,446360.7,5796.89220779221,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","JORNALISTA E REDATOR",17903
2014,10000000176,"JUAREZ PEDROSA CAVALCANTE","AC","PTN",16,16,35504.13,2219.008125,29504.13,6000,NA,NA,30,28,35498.34,1267.79785714286,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","ENFERMEIRO",515
2014,10000000177,"RAIMUNDO VAZ DE AZEVEDO","AC","PRP",11,11,136000,12363.6363636364,18000,14000,1e+05,NA,48,46,131543.84,2859.64869565217,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","VEREADOR",11229
2014,10000000178,"JOSÉ LUIS SCHAFER","AC","PDT",24,23,382403.65,16626.2456521739,207153.65,14500,NA,122750,223,152,327600.91,2155.26914473684,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",11397
2014,10000000179,"FRANCE SPYM PINTRO SOSTER","AC","PHS",10,10,121950,12195,110100,5850,2000,4000,61,57,106950,1876.31578947368,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS",5871
2014,10000000180,"JOSE AFONSO VASCONCELOS FERNADES","AC","PSDC",2,2,53846.15,26923.075,3846.15,NA,NA,NA,19,18,49712.71,2761.81722222222,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","EMPRESÁRIO",3343
2014,10000000327,"FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO","AC","PV",6,5,859.06,171.812,773,NA,250.06,NA,6,5,859.06,171.812,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA",665
2014,10000000347,"HILÁRIO JOSÉ DO NASCIMENTO","AC","PV",17,16,16283.07,1017.691875,1351.07,4746,850,9500,25,22,12533.07,569.685,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO FEDERAL",838
2014,10000000348,"MARIA JOICILENE SOUZA SILVA NOBRE","AC","PV",6,6,10780,1796.66666666667,3680,6000,NA,1100,8,8,10780,1347.5,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO FUNDAMENTAL",1199
2014,10000000349,"SHIRLEY TORRES DE ARAÚJO","AC","PV",9,7,27319.07,3902.72428571429,2319.07,NA,NA,NA,18,15,38639.07,2575.938,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","PROFESSOR DE ENSINO MÉDIO",1377
2014,10000000358,"VALDETE DE SOUZA","AC","PMN",13,11,18751.8,1704.70909090909,858.08,NA,NA,2000,36,33,18702.74,566.749696969697,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",668
2014,10000000363,"FRANCISCO CARLOS OLIVEIRA DE LIMA","AC","DEM",6,6,7030,1171.66666666667,2530,3000,NA,1500,6,6,7030,1171.66666666667,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","SERVIDOR PÚBLICO ESTADUAL",10306
2014,10000000365,"JOAQUIM LIRA DE CARVALHO","AC","DEM",3,3,530.08,176.693333333333,530.08,NA,NA,NA,3,3,530.08,176.693333333333,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)","EMPRESÁRIO",962
2014,10000000366,"JOSÉ AUGUSTO LEANDRO RODRIGUES","AC","DEM",4,4,3550,887.5,180,NA,NA,3370,9,9,3545.6,393.955555555556,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO",2011
2014,10000000367,"MARIA TERESA GAUNA","AC","DEM",2,2,1520,760,1520,NA,NA,NA,2,2,1520,760,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","OUTROS",145
2014,10000000368,"NORMANDO RODRIGUES SALES","AC","DEM",4,3,150180,50060,180,NA,NA,NA,26,24,201806.6,8408.60833333333,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","EMPRESÁRIO",6451
2014,10000000369,"MARIA SOCORRO SOARES DE OLIVEIRA","AC","DEM",5,5,3754,750.8,1604,1500,NA,650,8,8,3754,469.25,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","OUTROS",663
2014,10000000370,"SAULO DE FREITAS RIBEIRO","AC","DEM",9,7,2689.76,384.251428571429,1517.76,NA,NA,3000,9,7,2689.76,384.251428571429,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SEPARADO(A) JUDICIALMENTE","OUTROS",525
2014,10000000371,"SEBASTIÃO ALVES RODRIGUES MANCHINERY","AC","DEM",6,5,1958,391.6,836,1400,NA,50,5,4,4328,1082,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS",1135
2014,10000000602,"DEODATO NUNES DE FRANÇA","AC","PPS",4,4,17717.5,4429.375,15000,NA,NA,1500,20,20,17717.5,885.875,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","POLICIAL MILITAR",3487
2014,10000000603,"FRANCISCO CARLOS OLIVEIRA DA CRUZ","AC","PT do B",9,9,13207.8,1467.53333333333,NA,2000,2400,6500,13,13,13207.8,1015.98461538462,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","SERVIDOR PÚBLICO FEDERAL",1154
2014,10000000605,"MARFIZA DE LIMA GALVÃO","AC","PSD",20,16,511006.36,31937.8975,25000,146800,375000,NA,118,100,462853.42,4628.5342,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL",17300
2014,10000000607,"WHERLES FERNANDES DA ROCHA","AC","PSDB",12,12,125638.29,10469.8575,25000,6000,NA,94638.29,120,105,125200.14,1192.38228571429,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",23466
2014,10000000608,"EDSON BRAGA RODRIGUES","AC","PSDB",17,15,26764,1784.26666666667,NA,10900,2500,16164,36,35,31764,907.542857142857,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","MÉDICO",4518
2014,10000000609,"JOSÉ VIEIRA DE FARIAS","AC","PSDB",6,6,43483.43,7247.23833333333,199.8,2400,NA,40000,23,20,38156.85,1907.8425,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",4104
2014,10000000610,"FRANCISCO NAZARENO DA SILVA","AC","PSDB",12,11,13297.2,1208.83636363636,999.8,12947.4,NA,1850,22,19,14154.2,744.957894736842,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","OUTROS",924
2014,10000000611,"LUIZETE SILVA E SILVA","AC","PSDB",3,3,3199,1066.33333333333,999,2000,NA,NA,3,3,3199,1066.33333333333,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","PROFESSOR DE ENSINO MÉDIO",227
2014,10000000612,"MARIA NAZARE PEREIRA LIMA DE CARVALHO","AC","PSD",4,3,4600,1533.33333333333,NA,NA,NA,5400,9,9,5400,600,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS",245
2014,10000000613,"FLAVIANO FLÁVIO BAPTISTA DE MELO","AC","PMDB",91,34,466872.5,13731.5441176471,236018.5,NA,NA,64500,164,132,583497.01,4420.43189393939,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","DEPUTADO",18372
2014,10000000614,"ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA","AC","PSC",16,16,630300,39393.75,NA,126200,468500,35600,311,297,619320.49,2085.25417508418,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",12126
2014,10000000615,"VANDA DENIR MILANI NOGUEIRA","AC","PP",13,12,196350,16362.5,25000,12400,2e+05,58950,178,176,289135.81,1642.81710227273,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","MEMBRO DO MINISTÉRIO PÚBLICO",13610
2014,10000000616,"ILDERLEI SOUZA RODRIGUES CORDEIRO","AC","PR",18,18,676832.03,37601.7794444444,26717.5,NA,NA,109700,165,130,605554.18,4658.10907692308,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","EMPRESÁRIO",13431
2014,10000000617,"OSVALDO ALVES RIBEIRO NETO","AC","PP",12,12,86695,7224.58333333333,25000,26700,28945,6050,20,16,83045,5190.3125,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",6707
2014,10000000618,"JOSÉ RIBAMAR COSTA","AC","PP",8,8,47000,5875,25000,8000,2000,12000,29,28,44579.9,1592.13928571429,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",2354
2014,10000000619,"CLAUDENOR MAGALHÃES SANTANA DE SOUZA","AC","PP",4,4,5058,1264.5,NA,NA,NA,100,4,4,5058,1264.5,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","OUTROS",206
2014,10000000620,"LEILANE RIBEIRO DE OLIVEIRA","AC","PP",4,4,78308,19577,25000,NA,NA,NA,71,68,77960.2,1146.47352941176,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO FEDERAL",2866
2014,10000000622,"JOSE AUGUSTO BATISTA DE AGUIAR","AC","PSD",6,4,2267.4,566.85,1800,NA,NA,750,6,4,2267.4,566.85,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","OUTROS",205
2014,10000000623,"RUY MEDEIROS DE ARAÚJO BIRICO","AC","PSD",9,9,24120.2,2680.02222222222,22620.2,NA,NA,700,18,16,23488.11,1468.006875,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","OUTROS",956
2014,10000000625,"LUIZ ANUTE DOS SANTOS","AC","SD",3,3,175000,58333.3333333333,NA,NA,25000,NA,105,94,159710.05,1699.04308510638,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","SERVIDOR PÚBLICO ESTADUAL",4717
2014,10000000721,"ANA PAULA MORAIS DE HOLANDA","AC","PSOL",3,3,1580,526.666666666667,NA,1500,NA,NA,3,3,1580,526.666666666667,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","COZINHEIRO",15
2014,10000000761,"JÉSSICA ROJAS SALES","AC","PMDB",160,60,251136,4185.6,NA,206500,15000,NA,233,207,301214.03,1455.14024154589,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","MÉDICO",20339
2014,20000000009,"PAULO ROBERTO CHAGAS SANTOS","AL","PSOL",3,3,1177,392.333333333333,400,420,NA,357,4,4,1176.5,294.125,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO FUNDAMENTAL",1755
2014,20000000010,"JOSÉ JÚNIOR NASCIMENTO SILVA","AL","PSOL",2,2,500,250,500,NA,NA,NA,2,2,500,250,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","COMERCIANTE",997
2014,20000000019,"PAULO SÉRGIO DA SILVA FALCÃO","AL","PSTU",19,19,17745.01,933.947894736842,NA,2232.48,NA,7656.63,18,18,17743.31,985.739444444444,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL",1752
2014,20000000023,"VALBERTSON DE BRITO LYRA SANTOS","AL","PSOL",2,2,2750.4,1375.2,0.4,NA,NA,2750,8,7,2515.4,359.342857142857,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO",2573
2014,20000000024,"MARIA DA GLÓRIA SANTOS OLIVEIRA","AL","PSOL",2,2,110,55,NA,110,NA,NA,1,1,110,110,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PROFESSOR DE ENSINO FUNDAMENTAL",109
2014,20000000043,"JOSE CICERO SOARES DE ALMEIDA","AL","PRTB",29,29,362655.22,12505.3524137931,3000,73200.22,189900,96555,110,92,299046.04,3250.50043478261,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","EMPRESÁRIO",64435
2014,20000000044,"AUDIVAL AMÉLIO DA SILVA NETO","AL","PRTB",25,25,227150,9086,NA,226600,NA,550,76,74,223469.14,3019.85324324324,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",58095
2014,20000000045,"JOSE BARBOSA LIMEIRA","AL","PRTB",3,3,42000,14000,1000,1000,NA,NA,26,19,34084.41,1793.91631578947,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","COMERCIANTE",12194
2014,20000000046,"JOSIVAL FERREIRA DE LIMA","AL","PRTB",25,25,51636.04,2065.4416,NA,43703.04,NA,7933,44,40,49086.04,1227.151,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","VEREADOR",7188
2014,20000000047,"JOSE SALUSTIANO DOS SANTOS FILHO","AL","PRTB",3,3,10200,3400,1000,NA,NA,9200,28,23,9050,393.478260869565,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",2349
2014,20000000052,"MARIA SILVANA RODRIGUES SOARES","AL","PRTB",3,3,4523,1507.66666666667,NA,4500,NA,23,5,5,4522.85,904.57,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ADVOGADO",116
2014,20000000054,"ILDO RAFAEL DE VASCONCELOS","AL","PRTB",23,22,42684,1940.18181818182,1000,26434,NA,16250,30,29,43374.73,1495.68034482759,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","JORNALISTA E REDATOR",3782
2014,20000000059,"PAULA CAVALCANTE AMELIO SILVA","AL","PRTB",2,2,1500,750,NA,1500,NA,NA,2,2,1500,750,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",20
2014,20000000060,"LUIZ ALBERTO ALVES TEIXEIRA","AL","PRTB",13,13,39808.12,3062.16307692308,2208.12,9700,23700,4200,30,25,39225.36,1569.0144,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",4568
2014,20000000082,"ANTONIO CARLOS AZEVEDO LESSA","AL","PMN",7,6,9300,1550,NA,2000,NA,7800,13,11,9133.15,830.286363636364,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",7464
2014,20000000083,"MARCELO ALVES DA SILVA","AL","PMN",2,2,800,400,NA,500,NA,300,2,2,800,400,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","OUTROS",508
2014,20000000084,"SERGIO CABRAL BARBOSA","AL","PPL",11,11,6014.8,546.8,NA,4100,1914.8,NA,15,11,4734.8,430.436363636364,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",1045
2014,20000000085,"SONIA MARIA TEIXEIRA SOARES","AL","PMN",2,2,1000,500,NA,1000,NA,NA,2,2,1000,500,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","OUTROS",44
2014,20000000086,"TACIANA CORREIA SILVA","AL","PMN",2,2,1000,500,NA,1000,NA,NA,2,2,1000,500,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","AGENTE ADMINISTRATIVO",186
2014,20000000119,"MARIA LIGIA MININ DE LINS","AL","PSB",1,1,737.16,737.16,737.16,NA,NA,NA,1,1,737.16,737.16,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","VIÚVO(A)","ARTESÃO",662
2014,20000000126,"ANTONIO NELSON OLIVEIRA DE AZEVEDO","AL","PPS",5,4,6626.9,1656.725,533.8,NA,NA,5000,13,11,6623.9,602.172727272727,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",5836
2014,20000000127,"JOSÉ REGIS BARROS CAVALCANTE","AL","PPS",21,16,686827.59,42926.724375,224312.23,4500,NA,47700,193,170,1233547.95,7256.16441176471,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL",13986
2014,20000000128,"LUCAS COSTA MOREIRA CESAR BARBOSA","AL","PPS",16,15,114560.02,7637.33466666667,95870.84,19324.6,NA,NA,72,64,108860.02,1700.9378125,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",4394
2014,20000000153,"MAURÍCIO QUINTELLA MALTA LESSA","AL","PR",23,20,1831353.44,91567.672,NA,44724,150625,8024.03,681,536,1943962.24,3626.7952238806,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",76706
2014,20000000156,"NIVALDO FERREIRA DE ALBUQUERQUE NETO","AL","PRP",59,59,421880,7150.50847457627,12190,68400,290030,51260,146,133,391623.41,2944.53691729323,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","PECUARISTA",66910
2014,20000000157,"EDSON MAIA NOBRE DE ABREU","AL","DEM",9,7,11434.82,1633.54571428571,2026.84,NA,NA,12221.4,14,11,8634.82,784.983636363636,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",1901
2014,20000000158,"FLAVIO HENRIQUE CATÃO NOGUEIRA","AL","DEM",2,1,600,600,NA,NA,NA,1200,1,1,1200,1200,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO ESTADUAL",709
2014,20000000159,"JOSÉ FRANCISCO DE LIMA","AL","DEM",6,5,2974.42,594.884,3069.04,NA,NA,1239.9,6,5,2974.42,594.884,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","SERVIDOR PÚBLICO ESTADUAL",2273
2014,20000000160,"MARCOS ANTÔNIO VIEIRA DA SILVA","AL","DEM",11,10,31066.16,3106.616,2567.36,400,1520,27862.48,29,23,31055.66,1350.24608695652,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",1519
2014,20000000167,"ARTHUR CESAR PEREIRA DE LIRA","AL","PP",21,19,1349370.11,71019.4794736842,3812.9,8000,707000,232463.66,308,251,1333659.64,5313.38501992032,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",98231
2014,20000000169,"JOSE JULIO DE ALMEIDA FILHO","AL","PP",12,10,32229.5,3222.95,7163,17448,NA,10000,41,30,29626,987.533333333333,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","AGRÔNOMO",8596
2014,20000000170,"MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO","AL","PP",12,11,110734.26,10066.7509090909,33145.3,19811.61,NA,59150,73,70,107734.26,1539.06085714286,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO",15384
2014,20000000172,"WELLINGTON RODRIGUES FRAGOSO","AL","PP",11,10,96871.52,9687.152,87147.04,10665,NA,NA,79,63,88624.72,1406.74158730159,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","VIÚVO(A)","POLICIAL MILITAR",3517
2014,20000000183,"JOÃO HENRIQUE HOLANDA CALDAS","AL","SD",25,24,743500,30979.1666666667,NA,186000,446500,24000,377,365,801870.93,2196.90665753425,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","DEPUTADO",135929
2014,20000000198,"AUDINEIDE SILVA CAVALCANTE","AL","PP",2,2,2400,1200,2400,NA,NA,NA,2,2,2400,1200,"DEPUTADO FEDERAL","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","RECEPCIONISTA",38
2014,20000000265,"CRISTIANE MARQUES SAMPAIO","AL","PT do B",3,3,5581.5,1860.5,4981.5,600,NA,NA,3,3,5581.5,1860.5,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS",173
2014,20000000266,"ROSEANE CAVALCANTE DE FREITAS","AL","PT do B",16,14,546398.16,39028.44,41525,10000,20000,24873.16,398,296,547619.91,1850.06726351351,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","DEPUTADO",27116
2014,20000000267,"JOSÉ JERÔNIMO DE FARIAS NETO","AL","PSC",18,18,45191.99,2510.66611111111,700,16909.95,NA,15582.04,48,40,41591.99,1039.79975,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO MUNICIPAL",758
2014,20000000269,"RONALDO AUGUSTO LESSA SANTOS","AL","PDT",45,36,1216854.4,33801.5111111111,165550,91006,30000,NA,348,247,1307420.02,5293.19846153846,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","ENGENHEIRO",88125
2014,20000000270,"CARLOS ALBERTO DA SILVA","AL","PV",4,4,1500,375,NA,1500,NA,NA,4,4,1500,375,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","OUTROS",271
2014,20000000271,"MARIA APARECIDA GERMANO DOS SANTOS","AL","PV",6,6,5700,950,700,1500,NA,NA,12,12,5700,475,"DEPUTADO FEDERAL","FEMININO","ENSINO FUNDAMENTAL COMPLETO","DIVORCIADO(A)","COMERCIANTE",680
2014,20000000272,"ROSIETE GOIS RAMOS","AL","PV",4,4,1500,375,NA,1500,NA,NA,4,4,1500,375,"DEPUTADO FEDERAL","FEMININO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","OUTROS",857
